Gene	Ensembl	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UGT8	ENSG00000174607	75.539662627	8.5402859836	1.3347122904	6.3985969447	1.57E-10	1.10E-07
DLX5	ENSG00000105880	171.2016035256	-8.5450772856	1.3528103836	-6.3165373279	2.67E-10	1.79E-07
MT-ND3	ENSG00000198840	22132.892622636	4.5188170082	0.7185979032	6.2883804533	3.21E-10	2.04E-07
H19	ENSG00000130600	8.8001907377	-7.5075474505	1.2176091946	-6.1658104127	7.01E-10	4.28E-07
LONRF1	ENSG00000154359	41.2144791309	-8.6742587595	1.4132774076	-6.1376901043	8.37E-10	4.89E-07
FECH	ENSG00000066926	46.2360115832	-8.7262624271	1.4300458469	-6.10208578	1.05E-09	5.87E-07
PWP2	ENSG00000241945	52.6567571257	-6.2594949297	1.0281832839	-6.0879174246	1.14E-09	6.17E-07
GABBR2	ENSG00000136928	32.5436041932	-8.4371452929	1.4083699047	-5.9907168316	2.09E-09	1.09E-06
RHOBTB3	ENSG00000164292	25.4257151004	-8.2509470295	1.3866136824	-5.9504295495	2.67E-09	1.34E-06
MT-RNR1	ENSG00000211459	381413.228268504	4.6282537801	0.7812457489	5.9241970748	3.14E-09	1.52E-06
FLJ22447	ENSG00000232774	645.9250886365	5.0515559168	0.8584260913	5.8846719219	3.99E-09	1.86E-06
MTND2P28	ENSG00000225630	29167.4672100355	4.2864755002	0.7303049332	5.8694324871	4.37E-09	1.98E-06
GRHL1	ENSG00000134317	249.5740079439	-5.2928431335	0.90784637	-5.8301088251	5.54E-09	2.43E-06
ISG15	ENSG00000187608	255.0931720926	7.3378669986	1.265069569	5.800366382	6.62E-09	2.81E-06
IFITM2	ENSG00000185201	300.3461254135	-4.8084287182	0.8397407554	-5.7260871133	1.03E-08	4.24E-06
ZNF750	ENSG00000141579	146.0763885948	-7.6750645491	1.3438464716	-5.7112659156	1.12E-08	4.49E-06
MT-ND2	ENSG00000198763	853761.338849507	4.2887936115	0.7595210797	5.6467078088	1.64E-08	6.37E-06
KIAA1462	ENSG00000165757	250.703570448	-5.8752014174	1.052700157	-5.5810777443	2.39E-08	9.06E-06
ELOVL7	ENSG00000164181	79.7268523162	7.1454440687	1.2818877554	5.5741573616	2.49E-08	9.18E-06
E2F7	ENSG00000165891	34.1191997971	-7.0580372176	1.2823870865	-5.5038274263	3.72E-08	1.31E-05
RP11-267L5.1	ENSG00000254339	318.0407399458	-5.1458031671	0.9351499152	-5.50265052	3.74E-08	1.31E-05
MIPOL1	ENSG00000151338	371.1952705755	4.5710090587	0.8427418861	5.4239727896	5.83E-08	1.95E-05
PCDHB1	ENSG00000171815	52.0450928667	6.302798211	1.1620002653	5.4240936074	5.82E-08	1.95E-05
RARRES1	ENSG00000118849	33.8567995554	-8.0754171619	1.5024749259	-5.3747433802	7.67E-08	2.50E-05
ZNF467	ENSG00000181444	60.3186465573	7.6982507731	1.4450301319	5.3273980959	9.96E-08	3.18E-05
MT-ATP6	ENSG00000198899	673902.919256522	3.8769772286	0.7303448632	5.3084199316	1.11E-07	3.45E-05
IBA57	ENSG00000181873	25.2728941172	-5.5667856318	1.050604281	-5.2986511977	1.17E-07	3.49E-05
THRIL	ENSG00000280623	742.6532175286	-4.8872513833	0.9224682452	-5.298015849	1.17E-07	3.49E-05
MTATP6P1	ENSG00000248527	166747.059235976	3.7579926026	0.711287513	5.2833664785	1.27E-07	3.71E-05
TNFSF12	ENSG00000239697	16.7173804353	-7.5627159871	1.4469154867	-5.226784879	1.72E-07	4.94E-05
PLXDC2	ENSG00000120594	21.7884013525	-7.7157929066	1.4794569454	-5.2152872246	1.84E-07	5.07E-05
GCNA	ENSG00000147174	176.2741062587	6.5375998358	1.2545954221	5.2109227567	1.88E-07	5.07E-05
SH2B2	ENSG00000160999	37.7656849967	-8.0138028515	1.5372082582	-5.2132187093	1.86E-07	5.07E-05
RAB31	ENSG00000168461	99.9950137361	-6.4490892775	1.2397605357	-5.2018830184	1.97E-07	5.22E-05
IL32	ENSG00000008517	28.7267094231	-6.592784225	1.2684576254	-5.197480856	2.02E-07	5.25E-05
TINAGL1	ENSG00000142910	43.312866341	-8.0653491127	1.5530221761	-5.1933251416	2.07E-07	5.27E-05
ECEL1P2	ENSG00000244280	21.8495208925	-7.6769275488	1.4896169	-5.1536254379	2.55E-07	6.40E-05
PPM1L	ENSG00000163590	14.9709178383	7.5693972623	1.4730451295	5.1386051322	2.77E-07	6.81E-05
RP11-666A8.7	ENSG00000267541	45.4059412652	5.8798197566	1.1523403708	5.1025026162	3.35E-07	8.10E-05
TLE2	ENSG00000065717	508.3419309891	5.9790103949	1.173724199	5.0940505444	3.50E-07	8.33E-05
LRRC8B	ENSG00000197147	28.8663060262	-7.1274840112	1.4010498615	-5.0872450775	3.63E-07	8.49E-05
DDX47	ENSG00000213782	31.5872624137	-7.2308118416	1.4243889478	-5.0764307408	3.85E-07	8.84E-05
STEAP3	ENSG00000115107	44.222762623	-7.1184264059	1.4041085925	-5.0697121603	3.98E-07	9.01E-05
ETS2	ENSG00000157557	38.4572755589	-6.2829959929	1.2454528241	-5.0447482806	4.54E-07	0.0001010811
SLC4A8	ENSG00000050438	530.8384790052	5.1363940109	1.0198190983	5.0365736622	4.74E-07	0.0001038444
SMARCA2	ENSG00000080503	154.2278236562	-5.8381198226	1.1638529316	-5.0162006421	5.27E-07	0.0001137013
BACE2	ENSG00000182240	42.9317408633	6.2334055717	1.2448060511	5.0075315477	5.51E-07	0.0001171399
FMN1	ENSG00000248905	42.6085292426	3.6409917395	0.7285645949	4.9974865163	5.81E-07	0.0001215656
GBGT1	ENSG00000148288	43.8090296921	-7.889497749	1.5861774241	-4.9739062159	6.56E-07	0.0001353159
BICDL2	ENSG00000162069	33.2799810038	-6.8372048351	1.377007702	-4.9652625945	6.86E-07	0.0001394337
YTHDF3-AS1	ENSG00000270672	33.6361176544	6.4552093239	1.307899826	4.9355533165	7.99E-07	0.0001601103
ZNF556	ENSG00000172000	60.2245334089	4.1977437868	0.8540570473	4.9150625241	8.88E-07	0.0001752957
PTHLH	ENSG00000087494	27.6628268462	-7.6266434375	1.5542045216	-4.907104137	9.24E-07	0.0001800221
MT-ND4	ENSG00000198886	1107820.70966163	3.4608993302	0.7119442221	4.8611944907	1.17E-06	0.0002241366
HEG1	ENSG00000173706	35.3192203056	-7.6974226565	1.5859032574	-4.8536520878	1.21E-06	0.0002296897
RP11-930P14.2	ENSG00000260588	34.0492753493	5.0115199721	1.0337029753	4.8481237764	1.25E-06	0.0002330335
MT-ND6	ENSG00000198695	53479.0039263308	3.4329053329	0.7102567917	4.8333298222	1.34E-06	0.0002477422
BMP7	ENSG00000101144	54.4377458225	4.6060739374	0.9544212798	4.8260386007	1.39E-06	0.0002536442
C12orf56	ENSG00000185306	19.4028249717	-7.0671007993	1.4705085999	-4.8058887922	1.54E-06	0.0002769822
RP11-313J2.1	ENSG00000215146	25.0245994616	-6.365539081	1.3274378821	-4.7953574077	1.62E-06	0.0002882437
GATA2-AS1	ENSG00000244300	26.9994015329	-7.0482996278	1.4728820454	-4.7853795554	1.71E-06	0.0002954603
RP11-153M7.3	ENSG00000250771	103.5315637235	4.8472120831	1.0126433908	4.7866920645	1.70E-06	0.0002954603
SLC25A24	ENSG00000085491	41.7733203864	-6.1934532541	1.2953781339	-4.7811932994	1.74E-06	0.0002980019
URAD	ENSG00000183463	21.1313802014	-7.385698546	1.5498672951	-4.7653747967	1.89E-06	0.0003184791
COL4A2	ENSG00000134871	40.9250704108	-7.2447099168	1.5250118576	-4.7505925155	2.03E-06	0.0003385911
TVP23C	ENSG00000175106	46.1780016073	4.5561249311	0.9603662721	4.7441534166	2.09E-06	0.0003454279
FYB	ENSG00000082074	23.3644381787	-7.1088464245	1.5016041942	-4.7341679333	2.20E-06	0.0003586554
MTHFD1	ENSG00000100714	299.9989341219	-4.3228849134	0.9139852965	-4.7297094714	2.25E-06	0.0003603066
MT-ND1	ENSG00000198888	305175.206080271	3.4318204947	0.7257629042	4.7285697226	2.26E-06	0.0003603066
DNAH12	ENSG00000174844	9.8247777184	7.8231496674	1.6559526154	4.7242593747	2.31E-06	0.0003638976
CCDC22	ENSG00000101997	47.4047596687	-5.8989367683	1.2498655413	-4.7196570938	2.36E-06	0.0003640472
GATA4	ENSG00000136574	85.0491345411	-7.5086791215	1.5902381931	-4.7217323507	2.34E-06	0.0003640472
SERPINB9	ENSG00000170542	426.8174304695	-3.6263746667	0.7712384228	-4.7020150444	2.58E-06	0.0003926539
ACTG2	ENSG00000163017	28.1767895186	-7.3974418362	1.5785142742	-4.6863319242	2.78E-06	0.0004194008
GSTA3	ENSG00000174156	58.3250107703	-6.5730852474	1.4038870098	-4.6820614489	2.84E-06	0.0004236801
LILRA2	ENSG00000239998	32.9692742292	6.8947402604	1.4734932737	4.6791800026	2.88E-06	0.0004251545
RASSF4	ENSG00000107551	29.0886784488	-7.3294393939	1.5711103106	-4.6651335329	3.08E-06	0.0004430958
APOA1	ENSG00000118137	2325.5722065677	5.1859465702	1.1123889765	4.6619902567	3.13E-06	0.0004430958
FAM173B	ENSG00000150756	16.5769524042	-6.8776753609	1.4746591897	-4.6639083856	3.10E-06	0.0004430958
FUT1	ENSG00000174951	86.1121670242	-5.5905162683	1.1996427935	-4.6601507538	3.16E-06	0.0004430958
PPP1R26	ENSG00000196422	17.0458160232	8.0035088393	1.7170961424	4.6610720515	3.15E-06	0.0004430958
ZNF823	ENSG00000197933	120.1885873546	-5.8231591066	1.2505635231	-4.6564280814	3.22E-06	0.0004467125
CDX1	ENSG00000113722	82.5220060344	-5.8852284566	1.265139459	-4.6518416721	3.29E-06	0.000452288
KIT	ENSG00000157404	20.9559530113	-7.1366074569	1.5390835674	-4.6369200528	3.54E-06	0.0004806918
FTH1P23	ENSG00000242960	23.1380311743	4.0394595254	0.8714645654	4.6352538999	3.56E-06	0.0004806918
FAM83H-AS1	ENSG00000203499	27.3910003656	-5.8745857111	1.2694767567	-4.6275646089	3.70E-06	0.0004941316
RP11-146N23.1	ENSG00000232176	82.5266210619	5.094895999	1.1053718817	4.6092144042	4.04E-06	0.0005347173
AP1S3	ENSG00000152056	13.1406244879	5.4928848358	1.193699559	4.6015639317	4.19E-06	0.000549558
IL2RG	ENSG00000147168	15.7910483747	7.6113180383	1.6552325563	4.5983375624	4.26E-06	0.0005529679
TRIM43	ENSG00000144015	40.1335047884	-7.4009090053	1.6191037949	-4.5709910807	4.85E-06	0.0006228477
DOCK5	ENSG00000147459	40.6512692232	-4.1960896225	0.9182551584	-4.5696335969	4.89E-06	0.0006228477
HACE1	ENSG00000085382	26.3999972072	-7.3265362321	1.6055635886	-4.5632177286	5.04E-06	0.0006364108
DISP2	ENSG00000140323	30.7986463794	3.7281734059	0.8176419441	4.559665062	5.12E-06	0.0006414931
SELENOP	ENSG00000250722	248.2329195384	4.9682019905	1.0903343271	4.5565858718	5.20E-06	0.0006452043
DACT1	ENSG00000165617	28.5773634236	-7.3011492454	1.6229606392	-4.4986607002	6.84E-06	0.0008411696
HAGH	ENSG00000063854	314.8019379516	-4.1554949292	0.92487411	-4.4930384411	7.02E-06	0.0008561847
C1orf115	ENSG00000162817	49.5374221919	-6.2931729648	1.4021179045	-4.4883336449	7.18E-06	0.0008677631
GABRD	ENSG00000187730	12.8645318297	4.1606147294	0.9273664932	4.4864837793	7.24E-06	0.0008678466
TMEM171	ENSG00000157111	29.0374709409	-6.9689253399	1.5564122996	-4.4775573553	7.55E-06	0.0008972575
EOGT	ENSG00000163378	28.8940975506	-6.3969622312	1.4307564981	-4.4710348963	7.78E-06	0.0009172927
HMGB1P5	ENSG00000132967	77.4915519637	2.2993604879	0.5149021933	4.4656257402	7.98E-06	0.0009246309
GTF2H2	ENSG00000145736	117.8236851839	-3.1260910816	0.7002889103	-4.4640019794	8.04E-06	0.0009246309
DAB1	ENSG00000173406	43.8451776335	-7.4088209038	1.6593518451	-4.4648884598	8.01E-06	0.0009246309
RP11-440L14.1	ENSG00000249592	22.1194375534	-7.0400075496	1.5821888165	-4.4495369177	8.61E-06	0.0009811042
RP3-467K16.4	ENSG00000228140	36.6957393539	5.4295195479	1.2211974566	4.4460619521	8.75E-06	0.0009890596
CYP11A1	ENSG00000140459	110.3759366094	-5.4672974012	1.2302360178	-4.4441044826	8.83E-06	0.0009901215
DPF3	ENSG00000205683	56.9432379602	-5.971316845	1.3453496847	-4.4384868209	9.06E-06	0.0010082485
LINC00678	ENSG00000254934	79.4083890143	-4.0711555789	0.9189352109	-4.4302966418	9.41E-06	0.0010390662
CHDH	ENSG00000016391	97.0550271375	-4.4406911867	1.0041742652	-4.4222316193	9.77E-06	0.0010702031
MSANTD2	ENSG00000120458	26.7296489684	-6.146418351	1.3939376493	-4.4093925965	1.04E-05	0.0011268508
GRAMD3	ENSG00000155324	53.171948534	-6.1701463092	1.402520216	-4.3993278947	1.09E-05	0.0011713159
ALPK3	ENSG00000136383	10.6035281619	7.5658328858	1.7234809515	4.3898558201	1.13E-05	0.001214176
ZSCAN10	ENSG00000130182	23.2838561571	-7.1215118374	1.6229722855	-4.3879442064	1.14E-05	0.0012156148
MRGPRX1	ENSG00000170255	38.1335299164	-7.2970454036	1.6653059194	-4.3818047593	1.18E-05	0.0012409855
LINC01419	ENSG00000253898	22.4140508756	4.4340635218	1.012588239	4.3789403738	1.19E-05	0.0012480235
KREMEN1	ENSG00000183762	37.7700167027	-4.3798416037	1.0007736825	-4.3764556165	1.21E-05	0.0012529783
TTN	ENSG00000155657	1031.4803547651	3.759365872	0.8610205667	4.3661743024	1.26E-05	0.001303743
FBXL2	ENSG00000153558	20.2436804234	5.5608308278	1.2799139874	4.3446910359	1.39E-05	0.001427601
AC016629.7	ENSG00000269028	346.6704408068	3.1207771245	0.7196678164	4.3364133473	1.45E-05	0.0014716679
TMEM106A	ENSG00000184988	40.9871522782	6.3714369475	1.472118483	4.3280734675	1.50E-05	0.0015175035
FABP5	ENSG00000164687	8240.266216844	-2.0756551352	0.4806915927	-4.3180599927	1.57E-05	0.0015766525
RGS3	ENSG00000138835	42.3550603647	-6.8978996868	1.5995576135	-4.3123796408	1.62E-05	0.0016062482
SULT1B1	ENSG00000173597	262.0407287951	3.8769137618	0.9016985558	4.2995674519	1.71E-05	0.0016899866
CCPG1	ENSG00000260916	107.3791025698	4.2002236043	0.9780762255	4.2943724579	1.75E-05	0.0017179465
PHLDA1	ENSG00000139289	193.2085990079	-5.9436714952	1.3861304023	-4.287959838	1.80E-05	0.0017560076
DGKH	ENSG00000102780	43.2307789484	3.7387598817	0.8726392453	4.2844278455	1.83E-05	0.0017718307
SPEG	ENSG00000072195	26.3712704943	7.2708675886	1.6998201026	4.277433581	1.89E-05	0.0018158857
ZNF454	ENSG00000178187	22.6140330353	-4.6550476315	1.0889425448	-4.2748330972	1.91E-05	0.0018247122
UBE2J1	ENSG00000198833	88.2620500019	-5.5385384511	1.2971764431	-4.2696878136	1.96E-05	0.0018527644
XACT	ENSG00000241743	7.0645306027	6.8195356995	1.5976726655	4.2684185859	1.97E-05	0.0018527644
APOC3	ENSG00000110245	154.7890304848	5.396973516	1.2678659139	4.2567383955	2.07E-05	0.0019337963
LDAH	ENSG00000118961	115.0141708827	-4.9387256142	1.1608513679	-4.2543996163	2.10E-05	0.0019337963
ATP1B2	ENSG00000129244	61.895585417	6.1323261077	1.441239289	4.254897958	2.09E-05	0.0019337963
PTPRK	ENSG00000152894	90.248129475	-5.7953621783	1.3631293497	-4.2515130201	2.12E-05	0.0019460914
MYL6	ENSG00000092841	9858.4471027831	2.510610182	0.5940315449	4.2263920215	2.37E-05	0.0021483973
C10orf82	ENSG00000165863	8.655544975	-5.7726256371	1.3657737567	-4.2266338833	2.37E-05	0.0021483973
TWSG1	ENSG00000128791	24.9109819411	5.257346911	1.2450552472	4.2225812249	2.42E-05	0.0021683549
GTF2IP12	ENSG00000283047	28.8964503461	-4.708841599	1.1154635436	-4.2214213329	2.43E-05	0.0021683549
CTB-105N12.2	ENSG00000279738	76.5594897429	3.005844931	0.7147349725	4.2055377819	2.60E-05	0.0023116833
RPL18AP3	ENSG00000213442	368.8336831163	2.0994038499	0.5021227624	4.1810569187	2.90E-05	0.0025590406
CYSLTR1	ENSG00000173198	91.3523284347	3.8309157371	0.9175417037	4.1751952216	2.98E-05	0.0026094228
RBMS2	ENSG00000076067	32.2337965624	3.6121145091	0.8659160983	4.1714370667	3.03E-05	0.0026354702
TPD52	ENSG00000076554	73.0200911322	-4.0957932908	0.9821802545	-4.1701034734	3.04E-05	0.0026354702
NEXN	ENSG00000162614	68.1206603362	5.0053158029	1.2035015641	4.1589607793	3.20E-05	0.0027503902
PRSS23	ENSG00000150687	3613.1924759404	3.5892990807	0.8659724209	4.1448191582	3.40E-05	0.0029079084
SCNN1A	ENSG00000111319	71.4275437861	3.6824977454	0.8917260462	4.1296290058	3.63E-05	0.003083477
STEAP2	ENSG00000157214	77.7904082855	3.4318058179	0.8312317923	4.1285786343	3.65E-05	0.003083477
IL6R	ENSG00000160712	50.3601373763	-6.8612549973	1.663684467	-4.1241323902	3.72E-05	0.0031248183
ZKSCAN2	ENSG00000155592	16.2829793755	-6.7319386475	1.6357299083	-4.1155563723	3.86E-05	0.0032240094
DGKE	ENSG00000153933	10.8881586922	5.1447426769	1.2509913065	4.1125327173	3.91E-05	0.0032472123
MNT	ENSG00000070444	59.8338532784	4.1141366768	1.0012199835	4.1091236139	3.97E-05	0.0032761312
TXLNGY	ENSG00000131002	29.4773841291	-6.4033190326	1.5648445017	-4.0919842358	4.28E-05	0.0035073715
U3	ENSG00000275152	48.4947891535	5.2977599157	1.2957264087	4.0886408428	4.34E-05	0.0035376121
HERPUD1	ENSG00000051108	175.5798196313	-5.0972192453	1.2486870934	-4.08206289	4.46E-05	0.0036005367
PP14571	ENSG00000218416	13.0047127551	-6.6059502072	1.6183664688	-4.0818629987	4.47E-05	0.0036005367
FADS2	ENSG00000134824	86.8189999677	-5.3589371674	1.3151936162	-4.0746374538	4.61E-05	0.003692944
AMOT	ENSG00000126016	2356.1083491132	3.5773541132	0.8813527923	4.0589354735	4.93E-05	0.0039277891
IGKC	ENSG00000211592	9.3386348258	-6.4246207079	1.5854550319	-4.0522251205	5.07E-05	0.0039967766
RP11-448A19.1	ENSG00000273328	20.8071409602	-6.7672321188	1.669664938	-4.0530479889	5.06E-05	0.0039967766
RP3-527G5.1	ENSG00000231811	9.1444694154	-6.4098176974	1.5838432843	-4.0470024788	5.19E-05	0.004064139
BAZ2B	ENSG00000123636	43.5193060383	3.2432273974	0.8025013	4.0413983095	5.31E-05	0.0041393887
EEFSEC	ENSG00000132394	56.6158132329	-5.7101201907	1.4152681137	-4.0346561442	5.47E-05	0.0042132425
MIR6776	ENSG00000273604	36.846171862	5.0535543259	1.252225673	4.0356578171	5.44E-05	0.0042132425
MTND6P4	ENSG00000249119	36.91353339	4.5867069336	1.1398984578	4.0237855418	5.73E-05	0.0043885149
PTN	ENSG00000105894	325.3640307337	-4.2084726887	1.0468444033	-4.0201511087	5.82E-05	0.0044000412
GATA2	ENSG00000179348	1263.4061886361	-3.1700986066	0.7885074834	-4.020378593	5.81E-05	0.0044000412
MT-CYB	ENSG00000198727	407725.139905533	2.70943082	0.6740987176	4.0193383391	5.84E-05	0.0044000412
SEMA6B	ENSG00000167680	45.0767781673	2.6558063045	0.6624762928	4.00890769	6.10E-05	0.0045743666
OLFML1	ENSG00000183801	16.2893245952	-6.2567467677	1.5629034243	-4.0032843171	6.25E-05	0.0046596007
GDF5	ENSG00000125965	33.6881694401	4.7445230469	1.1858837392	4.0008332097	6.31E-05	0.0046832248
EEF1A1P19	ENSG00000249855	82.6660996726	-3.4352905403	0.8607724396	-3.9909392799	6.58E-05	0.0048572816
RP11-266N13.2	ENSG00000247345	8.9890054413	-6.3554320021	1.593290094	-3.9888731034	6.64E-05	0.0048741247
ZHX3	ENSG00000174306	12.2819884368	-4.7841341295	1.2006636022	-3.9845749639	6.76E-05	0.0049373387
NANOG	ENSG00000111704	792.6995727176	-4.3508510129	1.0952940395	-3.9723132384	7.12E-05	0.005171656
LGALS12	ENSG00000133317	9.8433241417	7.1137362468	1.7916216109	3.9705572894	7.17E-05	0.0051830678
RP11-403N16.4	ENSG00000279714	10.3535847374	4.0457022831	1.0195007168	3.9683172522	7.24E-05	0.0052051889
CDHR1	ENSG00000148600	18.4562547852	-6.6401114836	1.6744574658	-3.965530101	7.32E-05	0.0052395229
CLIC3	ENSG00000169583	19.1702624861	-6.6515386834	1.6781733805	-3.9635586888	7.38E-05	0.0052561834
TESMIN	ENSG00000132749	11.1282889014	-6.4322367185	1.6247986221	-3.9587901115	7.53E-05	0.0053351424
CITED2	ENSG00000164442	775.8728414867	3.3891250287	0.8583809809	3.9482760034	7.87E-05	0.0055324536
LINC00244	ENSG00000279417	808.9388193543	2.8861507362	0.7310966773	3.947700524	7.89E-05	0.0055324536
LINC01427	ENSG00000225321	69.6250065495	4.1103610033	1.0422458241	3.943753871	8.02E-05	0.0055909145
KHDC1P1	ENSG00000251360	22.9597678652	6.1159477776	1.5511695757	3.9427976628	8.05E-05	0.0055909145
SOX9	ENSG00000125398	31.4864727746	-6.7827363915	1.723669047	-3.9350572567	8.32E-05	0.0056620833
IRX2	ENSG00000170561	96.6282157472	-4.5925830362	1.1668596062	-3.9358488473	8.29E-05	0.0056620833
CHST11	ENSG00000171310	154.3706390454	5.2569618509	1.3354718857	3.9364077276	8.27E-05	0.0056620833
DNAJC22	ENSG00000178401	18.8226250054	6.5675956881	1.6685377933	3.9361384048	8.28E-05	0.0056620833
CISH	ENSG00000114737	9.3217133231	-6.3270089314	1.6094812945	-3.9310857187	8.46E-05	0.0057286403
SIGIRR	ENSG00000185187	246.9840171906	-3.7572469005	0.9568244624	-3.9267880874	8.61E-05	0.0058038881
MYH14	ENSG00000105357	5.3610233894	6.0204909573	1.533855967	3.9250692938	8.67E-05	0.0058175171
DEPDC4	ENSG00000166153	36.294069093	-4.6147551951	1.176887914	-3.921150978	8.81E-05	0.0058847869
PARP12	ENSG00000059378	17.5974395371	6.7856597953	1.7316209517	3.9186750361	8.90E-05	0.0059173777
VASH1	ENSG00000071246	13.5107976236	7.1342431807	1.823520292	3.9123464718	9.14E-05	0.0060460063
ADGRG6	ENSG00000112414	24.0606089895	-6.5564025951	1.6806031631	-3.9012199543	9.57E-05	0.0062424616
ESRRG	ENSG00000196482	32.4966243564	-4.6667615915	1.1959634385	-3.9020938612	9.54E-05	0.0062424616
MT-ATP8	ENSG00000228253	6120.9957525232	2.5586721696	0.6555020124	3.9033780543	9.49E-05	0.0062424616
KDM4A-AS1	ENSG00000236200	17.3538134235	4.5258815588	1.1617074552	3.8958875047	9.78E-05	0.0063518864
RP11-533E19.5	ENSG00000260360	40.352155661	5.028240288	1.2924488039	3.8904754083	0.000100048	0.0064653149
LRP4	ENSG00000134569	427.486419637	4.5887629745	1.1818694964	3.8826308559	0.0001033324	0.0066469262
ART5	ENSG00000167311	14.1862681838	7.0970623201	1.8314960042	3.8750083558	0.000106621	0.0068271546
IL6	ENSG00000136244	15.4011874976	-5.527064703	1.4277566622	-3.871153152	0.0001083217	0.006904524
MT-ND5	ENSG00000198786	217550.98827028	2.6484865236	0.6846448675	3.8684092283	0.0001095477	0.0069510743
MT-CO2	ENSG00000198712	430190.533944953	2.641079985	0.6830287167	3.8667188076	0.0001103095	0.006967883
LHPP	ENSG00000107902	24.411393039	-5.509079763	1.4259878156	-3.8633428018	0.0001118459	0.00703325
ZNF624	ENSG00000197566	26.2640335558	-6.6492819068	1.7223139579	-3.8606677234	0.0001130776	0.00707896
SH3BP4	ENSG00000130147	946.692902121	-3.1478561426	0.8160267608	-3.8575403332	0.0001145338	0.0071382545
ACO1	ENSG00000122729	367.5901345469	-3.7770617701	0.9802523271	-3.8531525668	0.0001166067	0.0072352898
PLCD1	ENSG00000187091	269.9594984178	4.6981972986	1.2198190149	3.8515527641	0.0001173712	0.0072506467
MTCO2P12	ENSG00000229344	206.4029043972	2.7271618988	0.7083710987	3.8499056553	0.0001181633	0.0072675631
WIPF3	ENSG00000122574	5.7573738403	-5.6117403267	1.4594900793	-3.8450006659	0.0001205521	0.0073821059
FCHSD1	ENSG00000197948	12.1342101257	6.6339323949	1.7261293595	3.8432417353	0.0001214198	0.0074029103
TGM2	ENSG00000198959	19.1567832963	-6.2517038284	1.6279838618	-3.8401509839	0.0001229587	0.007464283
TISP43	ENSG00000183292	27.4650977496	6.1691145661	1.6076068723	3.8374522232	0.0001243174	0.0075142373
SFRP1	ENSG00000104332	17.1230634911	-6.3380061277	1.6545437227	-3.8306670539	0.0001277963	0.0076710912
ISPD	ENSG00000214960	30.8782708948	-5.7490899195	1.5009649033	-3.8302627241	0.0001280065	0.0076710912
ARHGAP5-AS1	ENSG00000258655	9.945921411	6.2148470861	1.6250508192	3.824401682	0.00013109	0.0078224497
BCYRN1	ENSG00000236824	239.6000235346	2.7391279608	0.7168199957	3.8212214741	0.0001327923	0.0078904527
EGFL6	ENSG00000198759	10.2090747406	6.6051707227	1.7311114387	3.8155664478	0.0001358709	0.0080393141
IFT20	ENSG00000109083	439.275104905	2.767140259	0.7260553163	3.8111975727	0.0001382952	0.0081309539
DLGAP2	ENSG00000198010	9.3705342638	-6.2290853259	1.6346344015	-3.8106902193	0.0001385793	0.0081309539
